"","Player","Team","Season","Position","Minutes","Goals Added"
"","Quincy Amarikwa","CHI, SJE","2015","ST","2357","5.26"
"","Sacha Kljestan","NYRB","2017","AM","2802","5.25"
"","Cristián Maidana","PHI","2015","AM","2258","5.25"
"","Eddie Segura","LAFC","2019","CB","3250","5.24"
"","Lloyd Sam","DCU, NYRB","2016","W","2141","5.23"
"","Fafa Picault","PHI","2018","W","2383","5.23"
"","Cory Burke","PHI","2018","ST","1574","5.21"
"","Dax McCarty","NYRB","2014","CM","2868","5.21"
"","Romain Métanire","MIN","2019","FB","2655","5.19"
"","Amobi Okugo","PHI","2013","CB","3126","5.19"
"","Jackson","FCD","2013","W","2528","5.19"
"","Nicolás Lodeiro","SEA","2018","AM","2646","5.19"
"","Darlington Nagbe","POR","2015","W","3026","5.18"
"","Francisco Calvo","MIN, CHI","2019","CB","2813","5.16"
"","Erik Godoy","VAN","2019","CB","2853","5.15"
"","Albert Rusnák","RSL","2017","AM","2782","5.15"
"","Dax McCarty","CHI","2019","DM","3099","5.15"
"","Julian Gressel","ATL","2019","FB","2909","5.14"
"","Saphir Taïder","MTL","2019","CM","2980","5.12"
"","Florian Jungwirth","SJE","2018","CM","2624","5.12"
"","Marcelo Sarvas","LAG","2014","CM","2378","5.12"
"","Justin Meram","CLB","2015","W","2356","5.10"
"","Shea Salinas","SJE","2019","W","1520","5.09"
"","Héber","NYC","2019","ST","1732","5.09"
"","Boniek García","HOU","2013","W","2056","5.08"
"","C.J. Sapong","PHI","2017","ST","3028","5.05"
"","Michael Bradley","TOR","2016","DM","2329","5.04"
"","Steven Birnbaum","DCU","2019","CB","3354","5.04"
"","Pity Martínez","ATL","2019","W","2318","5.04"
"","Albert Rusnák","RSL","2018","AM","2836","5.03"
"","Cristián Maidana","PHI","2014","W","1997","5.02"
"","Harrison Afful","CLB","2018","FB","3115","5.01"
"","Jozy Altidore","TOR","2017","ST","2325","5.01"
"","Héctor Villalba","ATL","2017","W","2894","5.01"
"","Federico Higuaín","CLB","2013","ST","2788","5.00"
"","Alvas Powell","POR","2015","FB","2925","5.00"
"","Robbie Keane","LAG","2016","ST","1540","5.00"
"","Dom Dwyer","SKC","2014","ST","2938","4.99"
"","Michael Bradley","TOR","2014","CM","2367","4.98"
"","Jordan Morris","SEA","2019","W","2206","4.98"
"","Giles Barnes","HOU","2013","ST","2677","4.97"
"","Kendall Waston","VAN","2018","CB","2453","4.96"
"","Anton Tinnerholm","NYC","2018","FB","2930","4.96"
"","Rolf Feltscher","LAG","2019","FB","2376","4.96"
"","Sebastien Le Toux","PHI","2015","W","2547","4.96"
"","Lamar Neagle","SEA","2014","W","2384","4.96"
"","Federico Higuaín","CLB","2015","AM","2901","4.95"
"","Joao Plata","RSL","2018","W","1873","4.92"
"","Gerso","SKC","2019","W","1898","4.92"
"","Julian Gressel","ATL","2018","FB","3214","4.92"
"","Ethan Finlay","CLB","2016","W","2650","4.91"
"","Cristian Roldan","SEA","2019","DM","2784","4.90"
"","Juan Agudelo","NER","2016","ST","1457","4.90"
"","Kelyn Rowe","NER","2016","W","3002","4.89"
"","Lee Nguyen","NER","2015","AM","2899","4.88"
"","Jozy Altidore","TOR","2016","ST","1608","4.87"
"","Benny Feilhaber","SKC","2016","CM","2771","4.87"
"","Yordy Reyna","VAN","2018","ST","2049","4.85"
"","Héctor Villalba","ATL","2018","W","1919","4.82"
"","Mauro Díaz","FCD","2016","AM","2305","4.82"
"","Wayne Rooney","DCU","2019","ST","2542","4.82"
"","Dominique Badji","COL, FCD","2018","ST","2111","4.80"
"","Haris Medunjanin","PHI","2018","DM","2727","4.80"
"","Dax McCarty","CHI","2017","DM","2641","4.80"
"","Uriel Antuna","LAG","2019","W","2610","4.80"
"","Chris Wondolowski","SJE","2013","ST","2826","4.79"
"","Michael Bradley","TOR","2015","AM","2419","4.78"
"","Ned Grabavoy","RSL","2013","CM","2926","4.78"
"","Blerim Dzemaili","MTL","2017","CM","2079","4.77"
"","Magnus Eriksson","SJE","2019","AM","3066","4.77"
"","Roger Espinoza","SKC","2018","CM","3079","4.77"
"","Lamar Neagle","SEA","2013","ST","2596","4.76"
"","Dominic Oduro","TOR, CLB","2014","W","2273","4.76"
"","Fredy Montero","VAN","2017","ST","2640","4.76"
"","Chris Wondolowski","SJE","2019","ST","2197","4.76"
"","Raúl Ruidíaz","SEA","2019","ST","1959","4.74"
"","Chris Tierney","NER","2015","FB","2814","4.74"
"","Sean Davis","NYRB","2018","DM","2796","4.72"
"","Graham Zusi","SKC","2013","W","2565","4.72"
"","Leandro González Pirez","ATL","2017","CB","3034","4.71"
"","Sean Franklin","DCU","2015","FB","2256","4.71"
"","Ricardo Clark","HOU","2013","AM","2695","4.71"
"","Roland Lamah","FCD","2018","W","2035","4.71"
"","Gyasi Zardes","LAG","2013","W","2324","4.70"
"","Shea Salinas","SJE","2015","W","2808","4.69"
"","Robbie Keane","LAG","2015","ST","2218","4.69"
"","Danny Hoesen","SJE","2018","ST","2682","4.69"
"","Jefferson Savarino","RSL","2018","W","3117","4.69"
"","Matt Besler","SKC","2015","CB","3052","4.69"
"","Latif Blessing","LAFC","2018","W","2006","4.67"
"","Ilie Sánchez","SKC","2018","DM","3369","4.67"
"","Andrew Wenger","MTL, PHI","2014","W","2304","4.67"
"","Luke Moore","CHV, TOR","2014","ST","2349","4.67"
"","Maximiliano Moralez","NYC","2017","CM","2707","4.67"
"","Kei Kamara","NER","2017","ST","2542","4.67"
"","Juninho Pereira","LAG","2015","CM","3054","4.66"
"","Dom Dwyer","ORL","2018","ST","2438","4.65"
"","Kaká","ORL","2015","AM","2614","4.65"
"","Dominique Badji","COL","2017","ST","2738","4.65"
"","Juan Agudelo","NER","2019","ST","2145","4.64"
"","Fabian Castillo","FCD","2013","W","2342","4.63"
"","Matt Hedges","FCD","2014","CB","3036","4.63"
"","Patrick Mullins","DCU, NYC","2016","ST","1386","4.63"
"","Andre Shinyashiki","COL","2019","W","1867","4.62"
"","Bobby Boswell","DCU","2015","CB","3216","4.61"
"","Alejandro Pozuelo","TOR","2019","AM","2734","4.61"
"","Tony Tchani","CLB","2015","DM","2994","4.58"
"","Benoit Cheyrou","TOR","2015","CM","2575","4.57"
"","Leandro González Pirez","ATL","2019","CB","2938","4.57"
"","Marco Di Vaio","MTL","2014","ST","1894","4.55"
"","Víctor Vázquez","TOR","2018","CM","1535","4.53"
"","Marco Pappa","SEA","2014","W","2045","4.53"
"","Chris Wondolowski","SJE","2016","ST","2911","4.52"
"","Will Bruin","HOU","2015","ST","2563","4.52"
"","Dom Dwyer","ORL","2019","ST","1789","4.52"
"","Paul Arriola","DCU","2019","W","2659","4.51"
"","Luciano Acosta","DCU","2016","CM","2242","4.51"
"","Michael Parkhurst","CLB","2015","CB","3119","4.50"
"","Lee Nguyen","NER","2016","AM","3114","4.49"
"","Diego Chara","POR","2015","DM","2665","4.47"
"","Matt Besler","SKC","2018","CB","3021","4.47"
"","Darlington Nagbe","POR","2016","W","2618","4.47"
"","Kendall Waston","VAN","2015","CB","2690","4.46"
"","Romain Alessandrini","LAG","2018","W","2059","4.45"
"","Cristian Pavón","LAG","2019","W","1052","4.45"
"","Brian Fernández","POR","2019","ST","1575","4.45"
"","Francisco Calvo","MIN","2018","CB","2563","4.45"
"","Diego Valeri","POR","2015","AM","1820","4.41"
"","Benny Feilhaber","SKC","2015","CM","2944","4.41"
"","Jack Harrison","NYC","2017","W","2938","4.39"
"","Octavio Rivero","VAN","2015","ST","2962","4.39"
"","Kelyn Rowe","NER","2015","W","2092","4.39"
"","Marco Di Vaio","MTL","2013","ST","2948","4.38"
"","Sebastian Giovinco","TOR","2017","ST","2209","4.38"
"","Juninho Pereira","LAG","2013","CM","2971","4.38"
"","Paul Arriola","DCU","2018","W","2366","4.38"
"","Brad Davis","HOU","2014","W","2191","4.37"
"","Cyle Larin","ORL","2017","ST","2354","4.34"
"","David Villa","NYC","2018","ST","1878","4.33"
"","Tranquillo Barnetta","PHI","2016","AM","2490","4.33"
"","Jan Gregus","MIN","2019","DM","2925","4.33"
"","Wil Trapp","CLB","2017","DM","3278","4.32"
"","Diego Chara","POR","2018","DM","2632","4.32"
"","Cristian Penilla","NER","2019","W","1969","4.32"
"","Angelo Rodríguez","MIN","2019","ST","1914","4.31"
"","Valentín Castellanos","NYC","2019","ST","2270","4.31"
"","Boniek García","HOU","2014","CM","2374","4.30"
"","Kelyn Rowe","NER","2013","CM","2765","4.30"
"","Jordan Morris","SEA","2017","ST","1894","4.27"
"","Matías Pérez García","SJE","2015","CM","2145","4.27"
"","Matt Hedges","FCD","2019","CB","3208","4.26"
"","Mix Diskerud","NYC","2015","CM","2222","4.26"
"","Sebastien Le Toux","PHI","2014","W","2203","4.26"
"","Wil Trapp","CLB","2018","DM","2856","4.25"
"","Camilo Sanvezzo","VAN","2013","W","2591","4.23"
"","Aníbal Godoy","SJE","2018","CM","2537","4.23"
"","Jonathan dos Santos","LAG","2019","DM","2773","4.22"
"","Albert Rusnák","RSL","2019","AM","2666","4.21"
"","Marco Delgado","TOR","2019","CM","2774","4.19"
"","Danny Hoesen","SJE","2019","ST","1693","4.19"
"","Paxton Pomykal","FCD","2019","AM","2089","4.17"
"","Osvaldo Alonso","SEA","2017","DM","2232","4.16"
"","Jamiro Monteiro","PHI","2019","CM","2254","4.16"
"","C.J. Sapong","PHI","2015","ST","2056","4.15"
"","Juninho Pereira","LAG","2014","CM","2948","4.15"
"","Kevin Molino","ORL","2016","W","2505","4.15"
"","Lucas Melano","POR","2016","W","2445","4.15"
"","Guram Kashia","SJE","2019","CB","2113","4.15"
