"","Player","Team","Season","Position","Minutes","Goals Added"
"","Josué Colmán","ORL","2018","W","1192","1.49"
"","Justin Morrow","TOR","2018","FB","1934","1.49"
"","José Adolfo Valencia","POR","2013","ST","742","1.49"
"","Sebastián Saucedo","RSL","2017","W","667","1.49"
"","Sebastian Lletget","LAG","2018","AM","2042","1.49"
"","Carlos Gruezo","FCD","2017","DM","2820","1.49"
"","Adam Lundkvist","HOU","2019","FB","2642","1.49"
"","Frédéric Piquionne","POR","2013","ST","892","1.48"
"","Andreas Ivanschitz","SEA","2016","W","2004","1.48"
"","David Texeira","FCD","2014","ST","905","1.48"
"","Justen Glad","RSL","2016","CB","2629","1.48"
"","David Accam","PHI, CLB","2019","W","1136","1.48"
"","Chris Wingert","RSL","2013","FB","1882","1.48"
"","Mario de Luna","CHV","2013","CB","2834","1.48"
"","Michaell Chirinos","VAN","2019","W","443","1.48"
"","Bobby Burling","CHV","2013","CB","1815","1.48"
"","Nick DeLeon","DCU","2018","FB","1165","1.48"
"","Darren Mattocks","VAN","2015","W","958","1.48"
"","Issey Nakajima-Farran","MTL, TOR","2014","W","874","1.47"
"","Fredy Montero","VAN","2019","ST","2294","1.47"
"","Kofi Opare","DCU","2015","CB","1747","1.47"
"","Alan Gordon","CHI","2018","ST","956","1.47"
"","Nick LaBrocca","COL","2013","W","1314","1.47"
"","Kei Kamara","SKC","2013","W","1146","1.47"
"","Dwayne De Rosario","TOR","2014","ST","604","1.47"
"","Jay Chapman","TOR","2016","CM","864","1.47"
"","Bradley Wright-Phillips","NYRB","2013","ST","367","1.47"
"","Darwin Cerén","SJE","2017","CM","1757","1.46"
"","Je-Vaughn Watson","NER","2016","FB","1857","1.46"
"","Johnny Leverón","VAN","2014","CB","1507","1.46"
"","Kalif Alhassan","POR","2013","W","1457","1.46"
"","Ryan Hollingshead","FCD","2017","FB","919","1.46"
"","Aaron Maund","RSL","2016","CB","1900","1.46"
"","Seth Sinovic","SKC","2018","FB","1801","1.46"
"","Eddie Gaven","CLB","2013","W","973","1.46"
"","Damien Perquis","TOR","2015","CB","2210","1.45"
"","Oniel Fisher","DCU","2018","FB","2021","1.45"
"","Kellyn Acosta","COL","2019","DM","2872","1.45"
"","Jason Johnson","HOU","2013","W","495","1.45"
"","Luis Martins","SKC","2019","FB","915","1.45"
"","Roger Espinoza","SKC","2019","CM","1234","1.45"
"","Liam Ridgewell","POR","2016","CB","2151","1.45"
"","Cedrick Mabwati","CLB","2016","W","670","1.44"
"","Stephen McCarthy","NER","2013","CB","1700","1.44"
"","Daniel Steres","LAG","2016","CB","2886","1.44"
"","Gastón Sauro","CLB","2019","CB","1413","1.44"
"","Ismael Tajouri-Shradi","NYC","2019","W","1044","1.44"
"","Tony Lochhead","CHV","2014","FB","1834","1.44"
"","Carlos Ascues","ORL","2019","CM","1233","1.44"
"","Rob Friend","LAG","2014","ST","421","1.44"
"","Alphonso Davies","VAN","2017","W","1182","1.44"
"","A.J. DeLaGarza","HOU","2017","FB","2852","1.43"
"","Alan Gordon","LAG","2015","ST","1121","1.43"
"","Bernardo Añor","CLB","2014","W","1810","1.43"
"","Chris Wingert","RSL","2016","FB","1623","1.43"
"","Ashtone Morgan","TOR","2013","FB","1946","1.43"
"","Danilo Silva","LAFC","2018","CB","791","1.43"
"","Seb Hines","ORL","2016","CB","2289","1.43"
"","Brad Evans","SEA","2015","CB","2512","1.43"
"","Jon Erice","VAN","2019","DM","1913","1.43"
"","Clarence Goodson","SJE","2014","CB","979","1.43"
"","C.J. Sapong","SKC","2014","W","936","1.43"
"","Frank Lampard","NYC","2015","AM","781","1.43"
"","Tony Cascio","COL","2013","W","604","1.42"
"","Maxime Chanot","NYC","2018","CB","1699","1.42"
"","Harry Shipp","MTL","2016","W","1708","1.42"
"","Sean Franklin","DCU","2017","FB","1545","1.42"
"","Nigel Reo-Coker","VAN, CHV","2014","CM","1580","1.42"
"","Drew Moor","TOR","2017","CB","2340","1.42"
"","Rodney Wallace","POR","2014","W","1151","1.42"
"","Edson Buddle","COL","2014","ST","1206","1.41"
"","Josh Williams","CLB","2017","CB","1957","1.41"
"","Sean Davis","NYRB","2016","DM","1270","1.41"
"","Jordan Stewart","SJE","2015","FB","1222","1.41"
"","Matías Pérez García","ORL","2017","W","1032","1.41"
"","Roland Alberg","PHI","2016","AM","1284","1.41"
"","Andy Rose","SEA","2013","CM","989","1.41"
"","Brian Mullan","COL","2013","FB","1475","1.41"
"","Bismark Boateng","COL","2017","DM","902","1.41"
"","Ronald Matarrita","NYC","2018","FB","1508","1.41"
"","Valentín Castellanos","NYC","2018","ST","490","1.41"
"","Russell Teibert","VAN","2014","DM","2151","1.40"
"","Shane O'Neill","ORL","2018","CB","1219","1.40"
"","Youness Mokhtar","CLB","2019","W","487","1.40"
"","Jonathan dos Santos","LAG","2017","DM","1103","1.40"
"","Cordell Cato","SJE","2015","FB","1984","1.40"
"","Bill Tuiloma","POR","2019","CB","2139","1.40"
"","Kamal Miller","ORL","2019","FB","1497","1.40"
"","Luis Gil","RSL","2014","CM","1511","1.40"
"","Adam Moffat","FCD","2014","DM","1262","1.39"
"","Marco Donadel","MTL","2016","DM","1631","1.39"
"","Cordell Cato","SJE","2013","W","1132","1.39"
"","Jordan Hamilton","TOR, CLB","2019","ST","770","1.39"
"","Steve Zakuani","SEA","2013","W","530","1.39"
"","Renzo Zambrano","POR","2019","DM","870","1.39"
"","Kortne Ford","COL","2017","CB","1866","1.39"
"","Gonzalo Pineda","SEA","2014","CM","2433","1.39"
"","Nick Besler","RSL","2018","CB","1595","1.38"
"","Fabian Herbers","PHI","2016","W","1438","1.38"
"","Mehdi Ballouchy","NYC","2015","W","1339","1.38"
"","Futty Danso","MTL, POR","2014","CB","1192","1.38"
"","Dillon Serna","COL","2017","W","1064","1.38"
"","Ambroise Oyongo","MTL","2015","FB","2009","1.38"
"","Teal Bunbury","NER","2014","W","2629","1.38"
"","Raúl Rodríguez","HOU","2015","CB","2551","1.38"
"","Daniel Paladini","CHI","2013","CM","931","1.37"
"","Jared Jeffrey","DCU","2016","CM","1418","1.37"
"","Bradley Orr","TOR","2014","CB","1250","1.37"
"","Derrick Etienne","CIN, NYRB","2019","W","765","1.37"
"","Alvas Powell","POR","2017","FB","1862","1.37"
"","Michel","FCD","2015","DM","1013","1.37"
"","Chad Barrett","SEA","2015","ST","785","1.37"
"","Carlos Bocanegra","CHV","2013","CB","1132","1.37"
"","Ned Grabavoy","NYC","2015","W","2032","1.37"
"","Kendall Waston","VAN","2014","CB","899","1.37"
"","Robert Earnshaw","TOR","2013","ST","2007","1.36"
"","Jonathan Osorio","TOR","2017","CM","1194","1.36"
"","Kelvin Leerdam","SEA","2018","FB","2120","1.36"
"","Jordan Harvey","VAN","2013","FB","2260","1.36"
"","Luis Garrido","HOU","2015","CM","2160","1.36"
"","Juan Fernando Caicedo","NER","2019","ST","1211","1.36"
"","Jhon Kennedy Hurtado","CHI, CHV","2014","CB","2245","1.36"
"","Donny Toia","MTL","2015","FB","2913","1.36"
"","Ricardo Clark","HOU","2016","DM","2756","1.36"
"","Obafemi Martins","SEA","2013","ST","1570","1.36"
"","Tyson Wahl","CLB","2015","CB","1538","1.36"
"","Brandt Bronico","CHI","2019","DM","2071","1.35"
"","Demar Phillips","RSL","2015","FB","1485","1.35"
"","Aaron Wheeler","PHI","2014","CB","855","1.35"
"","Yeferson Quintana","SJE","2018","CB","867","1.35"
"","Víctor Rodríguez","SEA","2017","W","525","1.35"
"","Maicon Santos","CHI","2013","ST","458","1.35"
"","Cristian Colmán","FCD","2018","ST","682","1.35"
"","Daigo Kobayashi","VAN","2013","W","1780","1.34"
"","Shaun Maloney","CHI","2015","AM","1319","1.34"
"","Scott Sutter","ORL","2018","FB","1701","1.34"
"","Víctor Bernárdez","SJE","2016","CB","3051","1.34"
"","George John","FCD","2013","CB","2247","1.34"
"","Steven Vitória","PHI","2015","CB","1702","1.34"
"","Conor Casey","PHI","2015","ST","420","1.34"
"","Servando Carrasco","SEA, HOU","2013","CM","1384","1.34"
"","Sunny","RSL","2017","DM","1598","1.34"
"","Eric Avila","CHV","2014","FB","2325","1.34"
"","Scott Caldwell","NER","2014","DM","1716","1.34"
"","Tommy Thompson","SJE","2018","W","703","1.34"
"","Steven Lenhart","SJE","2013","ST","1434","1.34"
"","Benoit Cheyrou","TOR","2016","CM","867","1.33"
"","Deklan Wynne","COL","2018","CB","2216","1.33"
"","Kemar Lawrence","NYRB","2019","FB","1916","1.33"
"","Edson Buddle","COL","2013","ST","1777","1.33"
"","Connor Lade","NYRB","2017","FB","1518","1.33"
"","Abu Danladi","MIN","2019","W","844","1.33"
"","Fabinho","PHI","2013","FB","1069","1.33"
"","Joao Meira","CHI","2017","CB","2609","1.33"
"","Jordan Stewart","SJE","2013","FB","1165","1.33"
"","Tosaint Ricketts","TOR","2018","ST","700","1.33"
"","Ryan Richter","TOR","2013","FB","1221","1.33"
"","Pa Modou Kah","VAN","2015","CB","2342","1.33"
"","Alessandro Nesta","MTL","2013","CB","2107","1.33"
"","Brandon Bye","NER","2018","FB","1630","1.32"
"","Andrew Wenger","HOU","2017","W","1225","1.32"
"","Kléberson","PHI","2013","CM","591","1.32"
"","Gabriel Torres","COL","2014","ST","1221","1.32"
"","Juninho Pernambucano","NYRB","2013","CM","1066","1.32"
"","Servando Carrasco","ORL","2016","DM","2211","1.32"
"","Micheal Azira","SEA","2015","DM","785","1.32"
"","Kenny Cooper","SEA","2014","ST","1075","1.32"
"","Gilberto","CHI","2015","ST","731","1.31"
"","Maximiliano Urruti","MTL","2019","ST","2662","1.31"
"","Xavier Kouassi","NER","2017","DM","1335","1.31"
"","Quincy Amarikwa","MTL, SJE","2018","ST","1043","1.31"
"","Mathieu Choinière","MTL","2019","W","773","1.31"
"","Steven Beitashour","TOR","2016","FB","2738","1.30"
"","Ethan Finlay","MIN","2018","W","622","1.30"
"","Raúl Rodríguez","HOU","2016","CB","2299","1.30"
"","Eriq Zavaleta","CHV","2014","CB","1443","1.30"
"","Leonardo","LAG","2015","CB","2438","1.30"
"","Leonardo","HOU","2018","CB","1977","1.30"
"","Matías Vera","HOU","2019","DM","2901","1.30"
"","Vicente Sánchez","COL","2013","W","654","1.30"
"","Jun Marques Davidson","VAN","2013","DM","2108","1.30"
"","Cristian Techera","VAN","2016","W","1717","1.30"
"","Sam Cronin","COL","2015","DM","2302","1.30"
"","Zach Pfeffer","PHI","2015","DM","1082","1.29"
"","Patrick Mullins","DCU, CLB","2018","ST","636","1.29"
"","Tranquillo Barnetta","PHI","2015","W","817","1.29"
"","Akira Kaji","CHV","2014","FB","1368","1.29"
"","Brad Davis","SKC","2016","W","1422","1.29"
"","Bernie Ibini-Isei","VAN","2017","W","705","1.29"
"","Leonardo","LAG","2014","CB","1976","1.29"
"","Khari Stephenson","SJE","2014","CM","1182","1.29"
"","Jacob Peterson","SKC","2015","W","1446","1.28"
"","Mason Toye","MIN","2019","ST","910","1.28"
"","A.J. Cochran","HOU","2014","CB","1494","1.28"
"","Eric Gehrig","CLB","2014","FB","1287","1.28"
"","Brandon Vincent","CHI","2016","FB","2367","1.28"
"","Jeff Larentowicz","ATL","2019","DM","1654","1.28"
"","Jonathan Spector","ORL","2018","CB","1154","1.28"
"","Jeb Brovsky","NYC","2015","FB","1225","1.28"
"","Saad Abdul-Salaam","SKC","2015","FB","1196","1.27"
"","Alex Crognale","CLB","2019","CB","1000","1.27"
"","Jackson Yueill","SJE","2017","CM","1040","1.27"
"","Cristian Higuita","ORL","2016","DM","1656","1.27"
"","Fatai Alashe","SJE","2015","DM","2502","1.27"
"","Gonzalo Verón","NYRB","2016","W","745","1.27"
"","Nicolai Næss","CLB","2016","CB","1241","1.27"
"","Jordan Harvey","VAN","2017","FB","2697","1.27"
"","Zachary Brault-Guillard","MTL","2019","FB","969","1.27"
"","Ronald Zubar","NYRB","2016","CB","1739","1.27"
"","Eric Miller","MTL","2014","FB","1793","1.27"
"","Jack Jewsbury","POR","2016","DM","1652","1.26"
"","Andrew Wenger","PHI","2015","W","1828","1.26"
"","Brad Evans","SEA","2016","CB","1985","1.26"
"","Djordje Mihailovic","CHI","2017","CM","812","1.26"
"","Shaun Francis","SJE","2014","FB","1564","1.26"
"","Kwadwo Poku","NYC","2016","CM","299","1.26"
"","Justen Glad","RSL","2018","CB","3191","1.26"
"","Daniel Woolard","DCU","2013","CB","2388","1.26"
"","Derrick Etienne","NYRB","2017","W","796","1.26"
"","Tosaint Ricketts","TOR","2016","ST","443","1.26"
"","Alvas Powell","POR","2014","FB","1095","1.25"
"","Kyle Beckerman","RSL","2019","DM","2306","1.25"
"","Ilsinho","PHI","2017","AM","1944","1.25"
"","Joel Lindpere","CHI","2013","W","1561","1.25"
"","Toni Dovale","SKC","2014","W","1106","1.25"
"","Jeff Larentowicz","LAG","2016","DM","1640","1.24"
"","Marco Delgado","CHV","2013","FB","1358","1.24"
"","Danny O'Rourke","CLB","2013","CM","1852","1.24"
"","Justin Mapp","MTL","2015","W","279","1.24"
"","Auston Trusty","PHI","2019","CB","2157","1.24"
"","Claude Dielna","NER","2017","CB","1031","1.24"
"","Yannick Djaló","SJE","2014","ST","1216","1.24"
"","Cordell Cato","SJE","2017","FB","1205","1.24"
"","Héctor Jiménez","CLB","2014","W","1817","1.24"
"","Chris Korb","DCU","2014","FB","1491","1.24"
"","Saad Abdul-Salaam","SKC","2016","FB","2589","1.23"
"","Kellyn Acosta","FCD","2015","DM","1734","1.23"
"","Jermaine Jones","COL","2016","AM","769","1.23"
"","Aaron Herrera","RSL","2018","FB","1351","1.23"
"","Brandon Vincent","CHI","2017","FB","2524","1.23"
"","Mauro Díaz","FCD","2013","AM","456","1.23"
"","Clint Dempsey","SEA","2013","ST","710","1.23"
"","Jørgen Skjelvik","LAG","2019","FB","1848","1.23"
"","Yoshimar Yotún","ORL","2017","CM","964","1.22"
"","Kekuta Manneh","VAN, CLB","2017","W","1068","1.22"
"","Russell Canouse","DCU","2019","DM","2369","1.22"
"","Kenny Saief","CIN","2019","ST","622","1.22"
"","João Moutinho","ORL","2019","FB","1350","1.22"
"","Mohammed Saeid","CLB","2015","DM","1723","1.22"
"","Sanna Nyassi","MTL, CHI","2014","W","782","1.22"
"","Dan Gargan","LAG","2015","FB","1922","1.21"
"","Mark McKenzie","PHI","2018","CB","1764","1.21"
"","Matías Laba","VAN","2017","DM","1722","1.21"
"","Luis Argudo","CLB","2018","W","722","1.21"
"","Fatai Alashe","SJE","2016","CM","2506","1.21"
"","Conor Doyle","DCU","2013","ST","867","1.21"
"","Kevin Alston","NER","2014","FB","740","1.20"
"","Diego Campos","CHI","2018","W","1320","1.20"
"","Eric Miller","COL","2017","FB","2830","1.20"
"","Saër Sène","NER","2013","W","1345","1.20"
"","Juninho Pereira","CHI","2017","DM","1634","1.20"
"","Dillon Serna","COL","2014","W","1766","1.20"
"","Adam Jahn","SJE","2015","ST","1154","1.19"
"","Maximiliano Urruti","POR","2015","ST","1224","1.19"
"","John Thorrington","DCU","2013","CM","1121","1.19"
"","Patrick Mullins","DCU","2017","ST","1153","1.19"
"","Collen Warner","MIN","2017","DM","1455","1.19"
"","Paulo Nagamura","SKC","2015","CM","1595","1.19"
"","Joshua Gatt","COL","2017","W","1175","1.19"
"","Dwayne De Rosario","DCU","2013","ST","1722","1.18"
"","Marvin Loría","POR","2019","W","836","1.18"
"","Larrys Mabiala","POR","2017","CB","1266","1.18"
"","Laurent Ciman","MTL","2017","CB","2927","1.18"
"","Marc Burch","MIN, COL","2017","FB","1621","1.18"
"","José Gonçalves","NER","2014","CB","2568","1.18"
"","Lucas Melano","POR","2018","ST","179","1.18"
"","Carlos Rivas","ORL","2016","ST","911","1.18"
"","Jermaine Taylor","HOU","2015","CB","1550","1.17"
"","Demar Phillips","RSL","2016","FB","2373","1.17"
"","Julio Baptista","ORL","2016","ST","860","1.17"
"","Djimi Traore","SEA","2013","CB","2420","1.17"
"","Norberto Paparatto","POR","2014","CB","1134","1.17"
"","Mohamed El-Munir","LAFC","2019","FB","684","1.17"
"","Jordan Stewart","SJE","2016","FB","1311","1.17"
"","Luis Gil","RSL","2015","AM","1621","1.17"
"","Felipe","VAN, DCU","2019","CM","2109","1.17"
"","Andrew Jean Baptiste","CHV","2014","CB","791","1.16"
"","Michael Mancienne","NER","2019","CB","1311","1.16"
"","Jonathan Lewis","NYC","2018","W","310","1.16"
"","Oalex Anderson","SEA","2016","W","397","1.16"
"","Chris Tierney","NER","2017","FB","1837","1.16"
"","Chris Duvall","NYRB","2016","FB","2072","1.16"
"","Aaron Kovar","LAFC","2018","W","575","1.15"
"","Tommy Meyer","LAG","2014","CB","999","1.15"
"","Matt Polster","CHI","2017","FB","1902","1.15"
"","Andoni Iraola","NYC","2016","DM","2363","1.15"
"","Tomás Martínez","HOU","2017","AM","561","1.15"
"","Steve Zakuani","POR","2014","W","827","1.15"
"","Brek Shea","ATL","2019","FB","1022","1.15"
"","Josh Pérez","LAFC","2019","W","535","1.14"
"","Connor Lade","NYRB","2015","FB","1538","1.14"
"","Cordell Cato","SJE","2016","FB","1522","1.14"
"","Calum Mallace","MTL","2015","DM","1938","1.14"
"","Carlos Ascues","ORL","2018","CB","806","1.14"
"","Patrice Bernier","MTL","2014","DM","1947","1.14"
"","Sacha Kljestan","ORL","2019","AM","1533","1.14"
"","Eriq Zavaleta","TOR","2019","CB","1116","1.14"
"","Ballou Tabla","MTL","2017","W","1259","1.14"
"","Hernán Grana","CLB","2015","FB","641","1.13"
"","Michael de Leeuw","CHI","2016","ST","1555","1.13"
"","Darren Mattocks","CIN","2019","ST","1394","1.13"
"","Lawrence Olum","POR","2018","DM","1780","1.13"
"","Tommy McNamara","CHV","2014","ST","492","1.13"
"","Kyle Bekker","TOR","2014","CM","1217","1.13"
"","Jonathan Spector","ORL","2017","CB","2352","1.13"
"","Vytautas Andriuskevicius","POR","2016","FB","998","1.13"
"","Jermaine Jones","NER","2014","DM","667","1.13"
"","Bryan Róchez","ORL","2015","ST","343","1.12"
"","Oswaldo Minda","CHV","2013","CM","1306","1.12"
"","Shamit Shome","MTL","2019","CM","1785","1.12"
"","Chris Duvall","NYRB","2014","FB","1734","1.12"
"","Jordan Harvey","LAFC","2018","FB","2364","1.12"
"","Antonio Nocerino","ORL","2017","CM","2398","1.12"
"","Harrison Afful","CLB","2017","FB","1924","1.12"
"","Alejandro Bedoya","PHI","2016","DM","912","1.11"
"","Waylon Francis","CLB","2014","FB","2268","1.11"
"","Javier Calle","NYC","2015","FB","592","1.11"
"","Chris Duvall","NYRB","2015","FB","1382","1.11"
"","Gilberto","CHI","2016","ST","685","1.10"
"","Kyle Fisher","MTL","2017","CB","1596","1.10"
"","Robbie Rogers","LAG","2016","FB","1808","1.10"
"","Yordany Alvarez","RSL","2013","DM","1090","1.10"
"","Jack McInerney","MTL, CLB","2015","ST","1456","1.10"
"","Fredrik Gulbrandsen","NYRB","2017","ST","420","1.10"
"","Boniek García","HOU","2017","CM","1280","1.10"
"","Nicolas Hasler","CHI, TOR","2018","FB","1862","1.10"
"","Lawrence Olum","SKC","2013","DM","1118","1.10"
"","Jonny Steele","NYRB","2014","W","703","1.10"
"","Eric Remedi","ATL","2019","DM","2223","1.10"
"","Michael Lahoud","PHI","2015","DM","1333","1.09"
"","Theo Bair","VAN","2019","AM","909","1.09"
"","Wyatt Omsberg","MIN","2018","CB","437","1.09"
"","Tony Tchani","CHI","2018","CM","914","1.09"
"","Andreu Fontàs","SKC","2019","CB","1074","1.09"
"","Sunny","RSL","2018","DM","1576","1.09"
"","Benjamin Speas","CLB","2014","AM","755","1.09"
"","Axel Sjöberg","COL","2015","CB","1360","1.09"
"","Julian Araujo","LAG","2019","FB","1004","1.09"
"","Waylon Francis","CLB","2017","FB","921","1.08"
"","Mika Väyrynen","LAG","2015","CM","869","1.08"
"","Rolf Feltscher","LAG","2018","FB","1395","1.08"
"","Khiry Shelton","SKC","2018","ST","1499","1.08"
"","Jerome Thiesson","MIN","2018","FB","1216","1.08"
"","Patrick Mullins","NER","2014","ST","1307","1.08"
"","Gershon Koffie","VAN","2015","DM","2165","1.08"
"","Erick Torres","HOU","2016","ST","454","1.07"
"","Jonathan Campbell","CHI","2018","CB","1108","1.07"
"","Artur","CLB","2017","DM","1837","1.07"
"","Liam Fraser","TOR","2019","DM","887","1.07"
"","Handwalla Bwana","SEA","2018","W","541","1.07"
"","Ethan White","PHI","2015","CB","1312","1.06"
"","Kofi Sarkodie","SJE","2016","FB","1115","1.06"
"","Eric Alexander","HOU","2017","DM","944","1.06"
"","Rudy Camacho","MTL","2018","CB","1697","1.06"
"","Joey Calistri","CHI","2016","W","431","1.06"
"","Alejandro Fuenmayor","HOU","2019","CB","769","1.06"
"","Andrés Imperiale","SJE","2016","CB","941","1.06"
"","Jordy Delem","SEA","2019","DM","1591","1.05"
"","Shaun Francis","SJE","2015","FB","1792","1.05"
"","Brent Kallman","MIN","2017","CB","2097","1.05"
"","Alan Gordon","SJE","2013","ST","1558","1.05"
"","Johan Venegas","MIN","2017","AM","1358","1.05"
"","Eric Brunner","HOU","2013","CB","971","1.05"
"","Brian Carroll","PHI","2014","DM","1594","1.05"
"","Pedro Ribeiro","PHI","2014","ST","394","1.05"
"","Derek Cornelius","VAN","2019","CB","1560","1.05"
"","Víctor Bernárdez","SJE","2013","CB","2418","1.04"
"","Khiry Shelton","NYC","2015","W","923","1.04"
"","Kevin Garcia","HOU","2018","CB","1219","1.04"
"","Walker Zimmerman","FCD","2017","CB","1743","1.04"
"","Marvin Chávez","SJE","2013","W","1127","1.04"
"","Brandt Bronico","CHI","2018","DM","1667","1.04"
"","Vincent Nogueira","PHI","2016","DM","726","1.04"
"","Victor Ulloa","FCD","2018","DM","2362","1.04"
"","Jared Jeffrey","DCU","2013","CM","844","1.03"
"","Jacori Hayes","FCD","2018","DM","1115","1.03"
"","Benoit Cheyrou","TOR","2017","DM","689","1.03"
"","Micheal Azira","MTL, COL","2018","CM","1095","1.03"
"","Armando Cooper","TOR","2016","CM","422","1.03"
"","Mikaël Silvestre","POR","2013","CB","748","1.03"
"","Benjamin Angoua","NER","2017","CB","2489","1.03"
"","Lucas Ontivero","MTL","2016","W","1052","1.03"
"","Mauro Manotas","HOU","2016","ST","1173","1.03"
"","Brian Rodríguez","LAFC","2019","W","415","1.03"
"","Luis Solignac","COL","2015","ST","1315","1.02"
"","Calum Mallace","MTL","2016","DM","957","1.02"
"","Santiago Patiño","ORL","2019","ST","400","1.02"
"","Antonio Nocerino","ORL","2016","DM","1617","1.02"
"","Marcus Epps","PHI","2018","W","657","1.02"
"","Danny O'Rourke","POR","2014","CB","1060","1.02"
"","Adrian Winter","ORL","2016","W","1042","1.02"
"","Matías Sánchez","CLB","2013","CM","879","1.02"
"","Antonio Mlinar Delamea","NER","2018","CB","1655","1.02"
"","Justin Braun","TOR","2013","ST","886","1.02"
"","Markus Halsti","DCU","2015","CM","1007","1.02"
"","Anatole Bertrand-Abang","NYRB","2015","ST","455","1.01"
"","Steven Beitashour","VAN","2015","FB","2624","1.01"
"","Sean Davis","NYRB","2015","DM","504","1.01"
"","Laurent Ciman","TOR","2019","CB","1389","1.01"
"","Armando Lozano","NYRB","2014","CB","1484","1.01"
"","Atiba Harris","FCD","2017","CB","2235","1.01"
"","Wandrille Lefevre","MTL","2016","CB","1204","1.01"
"","Steven Beitashour","LAFC","2019","FB","2046","1.00"
"","Álvaro Fernández","SEA","2016","W","563","1.00"
"","Dylan Remick","SEA","2015","FB","1723","1.00"
"","Soni Mustivar","SKC","2015","DM","1991","1.00"
"","Daneil Cyrus","CHI","2015","CB","562","1.00"
"","Cam Weaver","HOU","2013","ST","821","1.00"
"","Angeliño","NYC","2015","FB","1076","1.00"
"","Dylan Remick","SEA","2014","FB","750","1.00"
"","Jordan Hamilton","TOR","2016","ST","975","0.99"
"","Taylor Kemp","DCU","2014","FB","1177","0.99"
"","Cristian Roldan","SEA","2015","W","1216","0.99"
"","Aaron Maund","RSL","2015","CB","2138","0.99"
"","José Gonçalves","NER","2016","CB","2727","0.99"
"","Zoltán Stieber","DCU","2017","W","564","0.99"
"","Aníbal Godoy","SJE","2015","CM","960","0.99"
"","Matías Laba","TOR","2013","CM","1522","0.99"
"","Jimmy Ockford","SJE","2018","CB","1192","0.98"
"","Jimmy Medranda","SKC","2018","FB","801","0.98"
"","Scott Sutter","VAN","2019","FB","1108","0.98"
"","Claude Dielna","NER","2018","CB","1444","0.98"
"","Maxim Tissot","MTL","2014","W","861","0.98"
"","Robin Lod","MIN","2019","W","638","0.97"
"","Leonel Miranda","HOU","2015","W","1103","0.97"
"","Bradley Diallo","LAG","2017","FB","1504","0.97"
"","Elliot Collier","CHI","2018","W","1002","0.97"
"","Gonzalo Segares","CHI","2014","FB","1876","0.97"
"","Russell Teibert","VAN","2015","DM","1470","0.97"
"","Maynor Figueroa","FCD","2018","CB","1146","0.97"
"","Jaime Castrillon","COL","2013","W","423","0.97"
"","José Aja","VAN","2018","CB","1670","0.97"
"","Henok Goitom","SJE","2016","ST","469","0.97"
"","Servando Carrasco","ORL, SKC","2015","DM","1530","0.97"
"","Donny Toia","MTL","2016","FB","1479","0.97"
"","Carlos Borja","CHV","2013","FB","2189","0.96"
"","John Goossens","CHI","2016","W","1385","0.96"
"","Ethan White","DCU","2013","CB","1165","0.96"
"","Chad Barrett","SEA","2014","ST","990","0.96"
"","Maximiliano Urruti","POR","2014","ST","1332","0.96"
"","Kevin Ellis","CHI, DCU","2018","FB","1721","0.96"
"","Diego Rubio","SKC","2018","ST","890","0.96"
"","Abdoulie Mansally","HOU","2016","FB","630","0.96"
"","Alejandro Fuenmayor","HOU","2018","CB","1955","0.95"
"","Cristian Higuita","ORL","2019","CM","702","0.95"
"","Dairon Asprilla","POR","2019","W","627","0.95"
"","Arturo Álvarez","CHI","2017","W","1203","0.95"
"","Andy Dorman","NER","2013","CM","458","0.95"
"","Kellyn Acosta","FCD","2014","FB","928","0.95"
"","Jared Jeffrey","DCU","2017","DM","1755","0.95"
"","Rob Vincent","DCU","2016","DM","1253","0.95"
"","Damien Perquis","TOR","2016","CB","1061","0.95"
"","Nick Hagglund","TOR","2017","CB","1213","0.95"
"","Damien Perrinelle","NYRB","2017","CB","2143","0.95"
"","Eric Alexander","MTL","2015","DM","970","0.95"
"","Paul Arriola","DCU","2017","W","985","0.94"
"","Léo Pereira","ORL","2017","CB","873","0.94"
"","Jonathan Mensah","CLB","2017","CB","2331","0.94"
"","Sam Cronin","MIN, COL","2017","DM","1955","0.94"
"","James Riley","DCU","2013","FB","1879","0.94"
"","Charles Eloundou","COL","2015","W","397","0.94"
"","Blake Smith","MTL","2013","W","378","0.94"
"","Franco Escobar","ATL","2018","FB","1944","0.93"
"","Joao Plata","RSL","2013","ST","1781","0.93"
"","Shaun Wright-Phillips","NYRB","2015","W","353","0.93"
"","Leonel Miranda","HOU","2016","W","555","0.93"
"","Julian Büscher","DCU","2016","CM","695","0.93"
"","Jacob Peterson","SKC","2014","W","1407","0.93"
"","Chris McCann","ATL","2017","FB","1077","0.93"
"","Devon Sandoval","RSL","2015","ST","1773","0.93"
"","Anton Walkes","ATL","2017","FB","1653","0.93"
"","Larrys Mabiala","POR","2019","CB","2111","0.92"
"","Bobby Boswell","ATL, DCU","2017","CB","964","0.92"
"","Andrea Pirlo","NYC","2017","DM","1142","0.92"
"","Steven Beitashour","TOR","2017","FB","1715","0.92"
"","Jacob Peterson","SKC","2016","W","1616","0.92"
"","Clint Dempsey","SEA","2018","AM","996","0.92"
"","Carlos Valdés","PHI","2014","CB","751","0.92"
"","Zach Scott","SEA","2016","CB","962","0.92"
"","Christian Ramirez","MIN, LAFC","2018","ST","1771","0.92"
